workload_id,scenario,latency_alpha,latency_beta,latency_gamma,latency_delta,latency_epsilon,latency_zeta
workload_0796,tool_heavy,107.89,104.311,107.622,113.876,108.732,115.032
workload_0797,short_context,97.312,99.622,91.991,97.12,96.377,93.791
workload_0798,medium_context,99.715,105.054,103.664,101.782,102.905,108.023
workload_0799,long_context,105.347,99.094,111.715,104.612,110.397,110.471
workload_0800,tool_heavy,114.166,113.261,108.678,117.679,122.461,114.014
workload_0801,short_context,93.003,99.734,97.779,94.422,95.056,97.706
workload_0802,medium_context,103.871,103.989,109.816,100.31,104.125,104.634
workload_0803,long_context,104.402,105.534,111.087,108.181,117.705,109.099
workload_0804,tool_heavy,116.314,107.488,110.241,116.41,111.949,117.552
workload_0805,short_context,95.013,97.758,98.134,99.647,96.363,105.483
workload_0806,medium_context,98.901,98.945,103.993,101.978,102.226,101.205
workload_0807,long_context,115.094,99.39,107.078,107.723,106.628,110.398
workload_0808,tool_heavy,107.407,108.437,115.254,119.669,108.808,123.569
workload_0809,short_context,89.912,105.14,93.336,96.421,93.642,96.741
workload_0810,medium_context,102.568,105.246,102.614,97.394,97.645,96.597
workload_0811,long_context,109.672,105.429,104.731,108.353,109.218,107.614
workload_0812,tool_heavy,108.125,106.73,116.195,118.303,122.131,110.651
workload_0813,short_context,92.326,88.794,97.923,98.1,100.349,92.738
workload_0814,medium_context,92.292,109.33,96.823,111.689,107.133,98.836
workload_0815,long_context,111.004,114.672,113.248,102.193,98.082,111.475
workload_0816,tool_heavy,115.039,110.228,107.164,117.381,109.717,112.627
workload_0817,short_context,93.477,91.613,101.714,96.234,102.939,105.123
workload_0818,medium_context,91.687,102.649,103.647,100.088,104.212,109.537
workload_0819,long_context,107.317,109.037,103.615,109.163,111.289,116.309
workload_0820,tool_heavy,110.331,99.458,108.724,114.795,118.776,109.057
workload_0821,short_context,92.913,94.784,92.44,95.104,104.947,95.866
workload_0822,medium_context,95.725,101.588,89.071,95.736,103.717,108.883
workload_0823,long_context,103.814,111.223,110.662,109.26,104.303,109.39
workload_0824,tool_heavy,112.794,112.109,112.533,110.107,116.871,115.125
workload_0825,short_context,95.414,97.462,91.71,100.676,101.34,103.71
workload_0826,medium_context,102.689,95.037,96.459,116.379,105.279,108.577
workload_0827,long_context,108.7,104.338,105.507,113.524,108.139,107.125
workload_0828,tool_heavy,108.948,113.965,110.193,107.969,112.103,108.079
workload_0829,short_context,97.712,93.822,90.262,91.97,103.754,97.055
workload_0830,medium_context,93.766,98.892,107.069,98.082,105.871,108.096
workload_0831,long_context,107.826,102.558,108.979,102.047,98.803,109.978
workload_0832,tool_heavy,102.993,101.791,111.535,116.96,118.074,116.821
workload_0833,short_context,92.029,91.485,102.569,103.066,84.143,101.5
workload_0834,medium_context,103.177,104.249,101.039,105.258,101.08,105.035
workload_0835,long_context,100.125,108.603,105.716,106.059,101.944,104.298
workload_0836,tool_heavy,110.977,103.254,101.596,118.46,117.304,121.098
workload_0837,short_context,88.544,90.305,100.409,93.415,102.396,103.57
workload_0838,medium_context,99.944,102.042,100.643,98.426,106.264,101.853
workload_0839,long_context,97.989,107.75,110.135,112.133,117.937,110.306
workload_0840,tool_heavy,112.556,115.939,112.871,109.755,113.731,117.774
workload_0841,short_context,98.895,97.489,98.536,102.764,102.557,101.697
workload_0842,medium_context,96.562,101.031,101.093,99.684,101.043,107.981
workload_0843,long_context,97.424,109.452,114.532,114.444,110.024,109.559
workload_0844,tool_heavy,106.029,121.314,116.424,111.78,118.968,113.25
workload_0845,short_context,93.858,98.129,100.213,100.252,102.304,95.094
workload_0846,medium_context,96.233,104.165,101.706,100.418,104.502,103.434
workload_0847,long_context,118.715,117.286,101.471,102.406,110.766,112.414
workload_0848,tool_heavy,113.218,108.246,124.382,112.157,107.972,118.743
workload_0849,short_context,97.012,98.677,94.228,100.696,99.231,98.441
workload_0850,medium_context,102.435,101.093,98.376,95.806,98.803,101.891
workload_0851,long_context,97.912,105.67,111.618,109.206,100.889,115.885
workload_0852,tool_heavy,107.414,109.864,106.651,115.563,113.555,115.048
workload_0853,short_context,90.569,95.795,90.495,96.521,96.432,93.176
workload_0854,medium_context,104.084,93.716,105.001,99.422,98.782,112.145
workload_0855,long_context,101.407,105.484,111.19,109.036,107.439,105.449
workload_0856,tool_heavy,108.878,113.923,113.416,120.06,108.089,106.669
workload_0857,short_context,93.709,95.889,101.388,94.098,98.305,102.669
workload_0858,medium_context,89.694,101.359,96.42,102.25,99.584,101.565
workload_0859,long_context,103.489,96.06,102.388,99.165,105.678,111.588
workload_0860,tool_heavy,113.628,116.704,118.114,107.386,110.473,112.552
workload_0861,short_context,101.276,90.543,93.138,99.606,97.104,102.604
workload_0862,medium_context,107.592,98.117,95.968,100.821,99.115,100.185
workload_0863,long_context,105.985,105.925,110.018,107.045,115.13,108.255
workload_0864,tool_heavy,106.095,113.07,110.805,119.528,111.975,110.671
workload_0865,short_context,98.92,98.75,89.029,100.218,94.019,96.074
workload_0866,medium_context,97.171,101.801,105.891,103.79,104.46,97.124
workload_0867,long_context,101.528,97.22,107.367,109.29,109.89,109.908
workload_0868,tool_heavy,121.711,110.073,110.372,110.632,114.177,117.374
workload_0869,short_context,89.239,98.741,99.941,96.119,98.152,96.596
workload_0870,medium_context,96.322,100.569,106.564,99.412,103.534,105.481
workload_0871,long_context,114.257,105.382,108.414,113.67,110.165,110.339
workload_0872,tool_heavy,106.378,110.392,111.891,105.411,110.662,122.731
workload_0873,short_context,99.392,95.927,106.919,93.843,91.99,94.158
workload_0874,medium_context,88.841,111.683,99.678,101.812,103.727,107.249
workload_0875,long_context,105.444,106.061,104.025,103.298,114.485,112.344
workload_0876,tool_heavy,108.387,114.735,106.776,117.988,110.773,117.12
workload_0877,short_context,91.778,90.004,90.896,93.691,95.979,103.96
workload_0878,medium_context,102.785,97.896,102.285,105.357,94.031,107.905
workload_0879,long_context,103.888,100.443,103.149,100.774,111.525,110.575
workload_0880,tool_heavy,109.689,116.749,111.441,118.771,117.391,122.748
workload_0881,short_context,95.01,98.025,94.04,94.9,100.213,100.514
workload_0882,medium_context,102.091,94.692,105.865,94.241,110.14,104.264
workload_0883,long_context,106.259,111.871,113.213,107.262,104.682,110.593
workload_0884,tool_heavy,100.615,108.329,113.848,114.29,120.318,120.821
workload_0885,short_context,90.369,91.393,95.455,101.127,96.457,108.269
workload_0886,medium_context,98.441,97.809,101.421,95.231,105.907,113.828
workload_0887,long_context,103.037,107.516,106.917,113.421,106.168,110.958
workload_0888,tool_heavy,110.799,103.654,110.002,111.746,111.512,115.04
workload_0889,short_context,105.757,87.741,96.056,98.132,95.829,97.011
workload_0890,medium_context,92.475,103.64,92.412,99.633,102.853,104.633
workload_0891,long_context,102.909,109.435,105.932,101.422,117.042,110.14
workload_0892,tool_heavy,112.301,112.132,111.463,109.15,114.24,113.797
workload_0893,short_context,99.019,87.802,88.714,92.904,98.333,102.866
workload_0894,medium_context,109.741,85.791,102.324,103.889,109.377,108.473
workload_0895,long_context,97.764,120.41,106.05,105.519,108.224,111.489
workload_0896,tool_heavy,109.68,114.295,105.932,122.061,109.865,119.49
workload_0897,short_context,92.64,93.928,96.026,96.465,97.518,97.052
workload_0898,medium_context,95.907,105.174,95.923,101.732,92.008,107.26
workload_0899,long_context,100.041,112.122,108.898,109.183,102.618,113.414
workload_0900,tool_heavy,102.816,110.141,109.622,116.26,104.485,123.292
workload_0901,short_context,94.058,97.142,97.0,99.737,103.365,102.091
workload_0902,medium_context,101.583,101.036,107.281,102.932,104.046,101.366
workload_0903,long_context,104.723,101.656,106.834,107.639,108.082,102.865
workload_0904,tool_heavy,105.439,117.226,114.345,116.394,116.427,119.997
workload_0905,short_context,91.694,92.212,95.097,95.728,99.242,107.069
workload_0906,medium_context,99.975,95.738,94.021,97.388,95.777,98.647
workload_0907,long_context,100.383,104.301,108.115,106.171,107.797,111.437
workload_0908,tool_heavy,112.798,108.198,107.844,105.144,116.771,118.772
workload_0909,short_context,90.268,89.247,99.581,92.963,96.522,103.809
workload_0910,medium_context,104.516,97.982,100.681,99.183,102.889,103.667
workload_0911,long_context,109.946,106.202,107.15,118.72,114.77,109.199
workload_0912,tool_heavy,117.281,115.908,112.569,108.416,117.829,112.405
workload_0913,short_context,92.389,86.079,96.645,97.154,101.773,103.015
workload_0914,medium_context,101.642,101.487,100.704,108.933,99.381,107.978
workload_0915,long_context,99.974,109.741,108.926,112.811,103.233,111.409
workload_0916,tool_heavy,106.443,117.224,113.911,119.737,113.122,107.688
workload_0917,short_context,88.065,97.181,91.469,101.09,105.034,102.853
workload_0918,medium_context,105.516,97.235,94.102,93.963,100.704,99.712
workload_0919,long_context,105.371,95.805,111.877,113.635,110.556,110.403
workload_0920,tool_heavy,105.369,109.38,112.828,114.145,116.184,124.081
